"filename", "language", "JavaScript", "JavaScript React", "Less", "JSON", "XML", "HTML", "comment", "blank", "total"
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/pt-BR/menu.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/pt-BR/pwa.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/pt-BR/settingDrawer.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/pt-BR/settings.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 1, 61
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-CN.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-CN/component.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-CN/globalHeader.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-CN/menu.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-CN/pwa.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-CN/settingDrawer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-CN/settings.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 1, 56
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-TW.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-TW/component.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-TW/globalHeader.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-TW/menu.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-TW/pwa.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-TW/settingDrawer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/ivancjz99/fmg-management/Phoenix-management/src/locales/zh-TW/settings.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 1, 56
"/Users/ivancjz99/fmg-management/Phoenix-management/src/manifest.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 1, 23
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/Bill/bills_list.js", "JavaScript", 228, 0, 0, 0, 0, 0, 3, 4, 235
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/Course/course_tags.js", "JavaScript", 199, 0, 0, 0, 0, 0, 1, 4, 204
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/Course/couse_list.js", "JavaScript", 80, 0, 0, 0, 0, 0, 8, 2, 90
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/CreateGoods/CreateGoods.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 4, 129
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/GoodsTags/GoodClassTags.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 3, 99
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/GoodsTags/GoodSaleTags.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 3, 73
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/GoodsTags/GoodsAreaTags.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 5, 99
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/GoodsTags/GoodsModelsList.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 3, 111
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/SettingsControls/icon_setting.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 5, 94
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/SettingsControls/rolling_controls.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 5, 105
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/global.js", "JavaScript", 107, 0, 0, 0, 0, 0, 1, 8, 116
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 56, 9, 65
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/setting.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 6, 28
"/Users/ivancjz99/fmg-management/Phoenix-management/src/models/user.js", "JavaScript", 44, 0, 0, 0, 0, 0, 1, 3, 48
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/404.jsx", "JavaScript React", 0, 16, 0, 0, 0, 0, 0, 3, 19
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Authorized.jsx", "JavaScript React", 0, 29, 0, 0, 0, 0, 0, 3, 32
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Bill/bills_list.jsx", "JavaScript React", 0, 724, 0, 0, 0, 0, 2, 18, 744
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Bill/bills_list.less", "Less", 0, 0, 39, 0, 0, 0, 1, 1, 41
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Bill/check_list.jsx", "JavaScript React", 0, 279, 0, 0, 0, 0, 3, 16, 298
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Bill/check_list.less", "Less", 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Bill/express_list.jsx", "JavaScript React", 0, 85, 0, 0, 0, 0, 0, 5, 90
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Charts/test_charts.jsx", "JavaScript React", 0, 36, 0, 0, 0, 0, 1, 4, 41
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Course/course_create.jsx", "JavaScript React", 0, 767, 0, 0, 0, 0, 5, 32, 804
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Course/course_create.less", "Less", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Course/course_list.jsx", "JavaScript React", 0, 322, 0, 0, 0, 0, 7, 8, 337
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Course/course_list.less", "Less", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Course/course_tags_setting.jsx", "JavaScript React", 0, 276, 0, 0, 0, 0, 3, 4, 283
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Course/course_tags_setting.less", "Less", 0, 0, 18, 0, 0, 0, 0, 0, 18
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Course/pre_apply_coures.jsx", "JavaScript React", 0, 32, 0, 0, 0, 0, 0, 4, 36
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Course/pre_apply_course.less", "Less", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/DashBoard/index.jsx", "JavaScript React", 0, 127, 0, 0, 0, 0, 3, 5, 135
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/DashBoard/index.less", "Less", 0, 0, 7, 0, 0, 0, 1, 0, 8
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsAddEditor.jsx", "JavaScript React", 0, 1441, 0, 0, 0, 0, 13, 53, 1507
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsListTable.jsx", "JavaScript React", 0, 5, 0, 0, 0, 0, 0, 2, 7
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsListTables/GoodsAdj.jsx", "JavaScript React", 0, 680, 0, 0, 0, 0, 7, 14, 701
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsListTables/TemplateAdj.jsx", "JavaScript React", 0, 653, 0, 0, 0, 0, 12, 28, 693
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsListTables/index.jsx", "JavaScript React", 0, 534, 0, 0, 0, 0, 0, 30, 564
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsListTables/index.less", "Less", 0, 0, 55, 0, 0, 0, 0, 5, 60
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsModels/GoodsModelsList.jsx", "JavaScript React", 0, 491, 0, 0, 0, 0, 2, 26, 519
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsTags/GoodsAreaTags.jsx", "JavaScript React", 0, 376, 0, 0, 0, 0, 3, 23, 402
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsTags/GoodsClassIndex.jsx", "JavaScript React", 0, 31, 0, 0, 0, 0, 0, 7, 38
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsTags/GoodsClassList.jsx", "JavaScript React", 0, 449, 0, 0, 0, 0, 4, 26, 479
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsTags/GoodsClassTags.jsx", "JavaScript React", 0, 359, 0, 0, 0, 0, 4, 22, 385
